name
ADM
ARHGDIB
ARHGEF1
ARHGEF2
BCL2L11
BSG
CALM1,3
CASP3
CASP8AP2
CCL4
CD19
CD3E
CDC25B,C
CDKN1A
CPNE3
CRKL
CSK
CTSK
CXCL8
Cell Chemotaxis/Recruitment/Infiltration
DDIT3
DUSP2
ETS1
FADD
FN1
ITGAV
FOS
FOXO3
GAB2
GNAI3
GNB1
HLA-DRB1
ICAM1
ICAM2,3
IGF1
IGF1R
IKBKE
IL17
IL17R
IL17A
IL17F
IL17RA
IL1B
IL1RN
IL32
IL6
ILK
IRAK1
IRF3
IRF5
JUN
JUNB
JUND
KLRK1
HCST
LCP2
LTBP1
LY96
TLR2,4
MAP2K2
MAP2K3
MAP2K4
MICB
MIR451A
MMP9
MYL6,9
NFAT5
NFKBIA
PDE4B
PLCB2
PRKACG
PRKCH
PTGS2
PTK2B
PXN
PYGB
RAB5A
RAC1,2
RAPGEF1
RASGRP3
RIPK1
TRAF6
RPS6KA1
RUNX1
SERPINE1
SLC25A5
SLC9A1
SMAD7
SOCS3
SRF
TGFB1
TLR5
TNF
TNFAIP3
TRADD
TRAF1
TSC2
UQCRC1
VEGFA
YY1
ZAP70
ZFP36
