name
ADCY7
ARHGAP35
ARHGDIB
BCL2L1
BSG
CCL2
CCL4
CCL5
CD28
CD72
CD86
COX5A
CXCL1
CXCL10
CXCL16
CXCL2
CXCL8
CXCR6
Ca2+
EGFR
FOXO3
IGF1
IGF1R
IL17
IL17R
IL17A
IL17F
IL18
IL1R1
IL26
IL32
IL33
IL35
IL6
IL6R
IL7
IRAK4
LBP
MAP4K4
MAPK1
MDM2
MMP1
MMP3
MMP9
PIP4K2B
PLA2G2A
PTGS2
RAP1B
RAPGEF1
RASGRP3
RB1
RHOA
STAT3
TAP1,2
TRAF3
TRAF3IP2
VEGFA
IGF1
IGF1R
CXCL12
IL7
