	C1
FASLG	1
IL6_Extracellular_space_Space	1
IL18	1
RANKL	1
MIR192_rna	0
TNF_Extracellular_space_Space	1
FGF1	1
PDGFA	1
WNT5A	1
IL17A_Extracellular_space_Space	1
TGFB1	1
IKBANFKB1RELA_complex	1
SFRP5	0
M_glc_D_e_simple_molecule	1
HIF1	1
M_atp_c_simple_molecule	1
